city_name_fa,sales_percentage
ربط,0.007492786303717655
رحیم آباد,0.012898642082042415
رزن,0.015647427457473297
رستم آباد,0.00565466181253945
رستمکلا,0.0038743391787728633
رشت,1.9049336361791493
رشتخوار,0.002754713360179056
رضوانشهر,0.044235022802565915
رضی,0.0003471967999921637
رفسنجان,0.14838739982654872
روانسر,0.006308562116815152
روداب,0.00044067286152851544
رودبار,0.009624927193958764
رودسر,0.09782403270180194
رودهن,0.017424810669716257
رونیز,0.0001175127630742708
رویان,0.045369166788888624
رویدر,0.003572079793529224
ری,0.024448810785786645
ریجاب,0.0004967584984503265
ریز,0.008406499314916724
رینه,7.157595569069221e-05
ریوش,0.0006370585887314676
زابل,0.12050762872196197
زارچ,0.01588098941557264
زازران,0.0008880551676796488
زاهدان,0.37946789325464764
زاویه,0.01394679503568768
زاینده رود,0.0010786373668335012
زرقان,0.006327749280280567
زرند,0.03462403048571207
زرنق,0.001058149016591502
زرنه,0.00017151575334505194
زرگر محله,4.700510522970832e-05
زرین آباد,0.0002703087332615914
زرین رود,7.371255138295167e-05
زرین شهر,0.029542123209651997
زنجان,0.4381901309243229
زنوز,6.860608767845155e-05
زنگی آباد,0.00012819574153556814
زهان,0.0001335372307662168
زهک,0.0008801786076601342
زواره,0.0063787199071151076
زیارتعلی,0.0013582082424210373
زیباشهر,0.00153183121326758
زید آباد,0.0011056882707442752
زیرآب,0.016120815338092766
ساروق,0.0003675334519400124
ساری,0.7867487275713727
سامان,0.007610998267732217
سامن,0.0015493256587958005
ساوه,0.17141851847754397
سبزوار,0.18481286090902013
سجاس,0.0013486037106354078
سده لنجان,0.0013875079132979144
سر پل ذهاب,0.04169757879003488
سراب,0.027188620856863275
سراب دوره,0.0004433436061438398
سراب ذهاب,0.000929419126132869
سرابله,0.01306093895912429
سراوان,0.04507399769644975
سرایان,0.016700502059295682
سرباز,0.0026176496782227654
سربیشه,0.0039305765139888245
سرخرود,0.012571385595497184
سرخس,0.02327700342474971
سرخنکلاته,0.0010350727148172535
سرخه,0.006356357228302073
سردرود,0.0007570556784469131
سردشت,0.021985477265586244
سرعین,0.002713275689174453
سروستان,0.0026804079034915026
سریش آباد,0.002305501059817503
سعادت شهر,0.001411853887062288
سعد آباد,0.00024845296177654623
سفید شهر,0.00019690011261586364
سقز,0.041680814526084485
سلطانیه,4.107605218368829e-05
سلفچگان,0.001220211936445075
سلماس,0.03521279026052216
سلمان شهر,0.03258642701091744
سماله,6.142712615245973e-05
سمنان,0.22587189297142385
سمیرم,0.010624531351986663
سندرک,0.003269334332765595
سنقر,0.025849833735135948
سنندج,0.2670587922737755
سنگان,0.011425636155523044
سنگر,0.012115992123797924
سه قلعه,0.001969931613582615
سودجان,0.00031093342960528987
سوران,0.0012866611307721905
سورشجان,0.00014892445879294644
سورک,0.0008463370684904366
سوسنگرد,0.0020696844591139023
سوق,0.003030614632665137
سپید دشت,0.005169973477303621
سگزی,4.900282220197092e-06
سی سخت,0.007659464804415431
سیاهکل,0.02291360962696345
سیراف,0.0021739471240026257
سیرجان,0.194132906046523
سیردان,0.00028844041845502833
سیرکان,0.00017520084676527644
سیریک,0.0022414945285155626
سیمین شهر,0.00602265142765976
سیه رود,0.00023769627076386591
سیه چشمه,0.020575220483803922
شادمهر,6.902272383844215e-05
شادگان,0.03321714525193213
شازند,0.015541998211336599
